ASSERTION	AAEDAAEBAwAAAAAAAABZQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	simulations.ScenarioAssertions	scenarioassertions	1593957846257	 	3.3.1
REQUEST	51		Get all Emp	1593957877676	1593957877685	OK	 
REQUEST	43		Get Specific Emp	1593957877706	1593957877709	OK	 
REQUEST	35		Get all Emp	1593957877706	1593957877716	OK	 
REQUEST	35		Get all Emp	1593957877717	1593957877724	OK	 
REQUEST	26		Get Specific Emp	1593957877735	1593957877742	OK	 
REQUEST	18		Get all Emp	1593957877745	1593957877755	OK	 
REQUEST	18		Get all Emp	1593957877755	1593957877764	OK	 
USER	Fixed Duration Load Simulation	52	START	1593957878188	1593957878188
REQUEST	52		Get all Emp	1593957878188	1593957878207	OK	 
REQUEST	44		Get Specific Emp	1593957878222	1593957878228	OK	 
REQUEST	27		Get Specific Emp	1593957878236	1593957878243	OK	 
REQUEST	19		Get all Emp	1593957878247	1593957878254	OK	 
REQUEST	19		Get all Emp	1593957878254	1593957878266	OK	 
USER	Fixed Duration Load Simulation	53	START	1593957878677	1593957878677
REQUEST	53		Get all Emp	1593957878677	1593957878682	OK	 
REQUEST	45		Get Specific Emp	1593957878709	1593957878718	OK	 
REQUEST	28		Get Specific Emp	1593957878726	1593957878731	OK	 
REQUEST	36		Get all Emp	1593957878716	1593957878731	OK	 
REQUEST	36		Get all Emp	1593957878731	1593957878742	OK	 
REQUEST	20		Get all Emp	1593957878736	1593957878744	OK	 
REQUEST	20		Get all Emp	1593957878745	1593957878754	OK	 
REQUEST	1		Get Specific Emp	1593957878936	1593957878942	OK	 
REQUEST	10		Get Specific Emp	1593957878947	1593957878951	OK	 
REQUEST	11		Get Specific Emp	1593957878986	1593957878988	OK	 
REQUEST	6		Get Specific Emp	1593957878986	1593957878989	OK	 
REQUEST	5		Get Specific Emp	1593957879006	1593957879009	OK	 
REQUEST	3		Get Specific Emp	1593957879016	1593957879018	OK	 
REQUEST	7		Get Specific Emp	1593957879016	1593957879019	OK	 
REQUEST	9		Get Specific Emp	1593957879016	1593957879020	OK	 
REQUEST	2		Get Specific Emp	1593957879016	1593957879020	OK	 
REQUEST	4		Get Specific Emp	1593957879025	1593957879028	OK	 
REQUEST	8		Get Specific Emp	1593957879025	1593957879028	OK	 
USER	Fixed Duration Load Simulation	54	START	1593957879176	1593957879176
REQUEST	54		Get all Emp	1593957879177	1593957879180	OK	 
REQUEST	37		Get all Emp	1593957879216	1593957879218	OK	 
REQUEST	37		Get all Emp	1593957879218	1593957879220	OK	 
REQUEST	12		Get Specific Emp	1593957879255	1593957879367	OK	 
REQUEST	29		Get Specific Emp	1593957879248	1593957879368	OK	 
USER	Fixed Duration Load Simulation	55	START	1593957879677	1593957879677
REQUEST	55		Get all Emp	1593957879678	1593957879688	OK	 
REQUEST	46		Get Specific Emp	1593957879707	1593957879716	OK	 
REQUEST	38		Get all Emp	1593957879715	1593957879722	OK	 
REQUEST	38		Get all Emp	1593957879723	1593957879725	OK	 
REQUEST	30		Get Specific Emp	1593957879736	1593957879738	OK	 
REQUEST	13		Get Specific Emp	1593957879746	1593957879751	OK	 
REQUEST	21		Get all Emp	1593957879746	1593957879753	OK	 
REQUEST	21		Get all Emp	1593957879754	1593957879758	OK	 
REQUEST	47		Get Specific Emp	1593957880197	1593957880202	OK	 
REQUEST	39		Get all Emp	1593957880207	1593957880222	OK	 
REQUEST	39		Get all Emp	1593957880222	1593957880229	OK	 
REQUEST	22		Get all Emp	1593957880267	1593957880273	OK	 
REQUEST	14		Get Specific Emp	1593957880267	1593957880274	OK	 
REQUEST	22		Get all Emp	1593957880274	1593957880280	OK	 
USER	Fixed Duration Load Simulation	56	START	1593957880665	1593957880665
REQUEST	56		Get all Emp	1593957880666	1593957880682	OK	 
REQUEST	48		Get Specific Emp	1593957880696	1593957880701	OK	 
REQUEST	40		Get all Emp	1593957880709	1593957880728	OK	 
REQUEST	31		Get Specific Emp	1593957880716	1593957880737	OK	 
REQUEST	40		Get all Emp	1593957880728	1593957880743	OK	 
REQUEST	23		Get all Emp	1593957880745	1593957880755	OK	 
REQUEST	23		Get all Emp	1593957880755	1593957880791	OK	 
REQUEST	15		Get Specific Emp	1593957880776	1593957880794	OK	 
USER	Fixed Duration Load Simulation	57	START	1593957881166	1593957881166
REQUEST	57		Get all Emp	1593957881166	1593957881172	OK	 
REQUEST	49		Get Specific Emp	1593957881196	1593957881199	OK	 
REQUEST	32		Get Specific Emp	1593957881235	1593957881243	OK	 
REQUEST	24		Get all Emp	1593957881246	1593957881251	OK	 
REQUEST	24		Get all Emp	1593957881252	1593957881255	OK	 
USER	Fixed Duration Load Simulation	58	START	1593957881666	1593957881666
REQUEST	58		Get all Emp	1593957881667	1593957881671	OK	 
REQUEST	50		Get Specific Emp	1593957881695	1593957881699	OK	 
REQUEST	41		Get all Emp	1593957881716	1593957881721	OK	 
REQUEST	41		Get all Emp	1593957881722	1593957881729	OK	 
REQUEST	33		Get Specific Emp	1593957881727	1593957881737	OK	 
REQUEST	25		Get all Emp	1593957881736	1593957881743	OK	 
REQUEST	25		Get all Emp	1593957881743	1593957881752	OK	 
REQUEST	16		Get Specific Emp	1593957881766	1593957881769	OK	 
USER	Fixed Duration Load Simulation	59	START	1593957882167	1593957882167
REQUEST	59		Get all Emp	1593957882168	1593957882173	OK	 
REQUEST	42		Get all Emp	1593957882218	1593957882225	OK	 
REQUEST	34		Get Specific Emp	1593957882225	1593957882228	OK	 
REQUEST	42		Get all Emp	1593957882225	1593957882233	OK	 
REQUEST	17		Get Specific Emp	1593957882267	1593957882273	OK	 
USER	Fixed Duration Load Simulation	60	START	1593957882667	1593957882667
REQUEST	60		Get all Emp	1593957882667	1593957882679	OK	 
